"Rank","Tier","WSIT","Overall","Team","Pos","Bye","Best","Worst","Avg","Std Dev","ADP","vs. ADP"
"1","undefined","","Christian McCaffrey","CAR","RB1","7","1","2","1.2","0.4","2.0","+1.0"
"2","undefined","","Dalvin Cook","MIN","RB2","12","2","3","2.2","0.4","15.0","+13.0"
"3","undefined","","Ezekiel Elliott","DAL","RB3","8","1","4","3.0","1.1","4.0","+1.0"
"4","undefined","","Saquon Barkley","NYG","RB4","11","3","4","3.6","0.5","1.0","-3.0"
"5","undefined","","Nick Chubb","CLE","RB5","7","6","9","7.4","1.4","10.0","+5.0"
"6","undefined","","Aaron Jones","GB","RB6","11","5","18","8.0","5.1","28.0","+22.0"
"7","undefined","","Alvin Kamara","NO","RB7","9","5","12","9.0","2.8","3.0","-4.0"
"8","undefined","","Michael Thomas","NO","WR1","9","8","11","10.0","1.1","13.0","+5.0"
"9","undefined","","Leonard Fournette","JAC","RB8","10","5","17","10.2","4.6","21.0","+12.0"
"10","undefined","","Julio Jones","ATL","WR2","9","8","13","10.6","1.6","14.0","+4.0"
"11","undefined","","Chris Carson","SEA","RB9","11","7","18","11.2","4.1","30.0","+19.0"
"12","undefined","","Tyreek Hill","KC","WR3","12","8","19","11.2","4.4","16.0","+4.0"
"13","undefined","","Derrick Henry","TEN","RB10","11","6","22","13.0","6.4","36.0","+23.0"
"14","undefined","","Josh Jacobs","OAK","RB11","6","12","17","14.2","1.6","32.0","+18.0"
"15","undefined","","DeAndre Hopkins","HOU","WR4","10","10","23","14.4","4.6","5.0","-10.0"
"16","undefined","","Mike Evans","TB","WR5","7","10","21","18.0","4.0","22.0","+6.0"
"17","undefined","","Melvin Gordon","LAC","RB12","12","9","25","18.6","5.7","48.0","+31.0"
"18","undefined","","Amari Cooper","DAL","WR6","8","14","25","18.6","3.9","34.0","+16.0"
"19","undefined","","Cooper Kupp","LAR","WR7","9","15","23","19.8","3.0","51.0","+32.0"
"20","undefined","","Chris Godwin","TB","WR8","7","15","25","20.2","3.2","50.0","+30.0"
"21","undefined","","Travis Kelce","KC","TE1","12","16","37","20.2","8.4","20.0","-1.0"
"22","undefined","","Davante Adams","GB","WR9","11","15","26","20.8","3.5","8.0","-14.0"
"23","undefined","","Marlon Mack","IND","RB13","6","18","26","22.0","2.5","39.0","+16.0"
"24","undefined","","Tyler Lockett","SEA","WR10","11","13","30","24.0","5.9","46.0","+22.0"
"25","undefined","","James Conner","PIT","RB14","7","17","35","26.2","5.9","6.0","-19.0"
"26","undefined","","Le'Veon Bell","NYJ","RB15","4","17","29","26.2","4.6","7.0","-19.0"
"27","undefined","","Kenny Golladay","DET","WR11","5","23","31","27.2","3.0","49.0","+22.0"
"28","undefined","","Mark Ingram","BAL","RB16","8","24","39","31.2","5.2","41.0","+13.0"
"29","undefined","","Julian Edelman","NE","WR12","10","25","41","31.2","5.6","43.0","+14.0"
"30","undefined","","Tevin Coleman","SF","RB17","4","24","42","31.6","6.5","56.0","+26.0"
"31","undefined","","Todd Gurley","LAR","RB18","9","22","42","32.4","8.0","11.0","-20.0"
"32","undefined","","Keenan Allen","LAC","WR13","12","30","34","32.6","1.5","26.0","-6.0"
"33","undefined","","George Kittle","SF ","TE2","4","16","38","33.0","8.5","31.0","-2.0"
"34","undefined","","David Montgomery","CHI","RB19","6","26","39","34.4","4.4","38.0","+4.0"
"35","undefined","","Odell Beckham Jr.","CLE","WR14","7","27","44","34.6","6.3","18.0","-17.0"
"36","undefined","","Stefon Diggs","MIN","WR15","12","30","43","35.6","5.4","35.0","-1.0"
"37","undefined","","Sony Michel","NE","RB20","10","26","42","36.2","5.6","44.0","+7.0"
"38","undefined","","Lamar Jackson","BAL","QB1","8","31","54","36.2","8.9","106.0","+68.0"
"39","undefined","","Phillip Lindsay","DEN","RB21","10","28","47","38.8","6.1","52.0","+13.0"
"40","undefined","","Allen Robinson","CHI","WR16","6","33","48","42.0","4.9","77.0","+37.0"
"41","undefined","","Hunter Henry","LAC","TE3","12","37","56","45.2","7.0","66.0","+25.0"
"42","undefined","","David Johnson","ARI","RB22","12","34","63","46.2","10.8","9.0","-33.0"
"43","undefined","","Adam Thielen","MIN","WR17","12","41","51","46.6","3.4","24.0","-19.0"
"44","undefined","","D.J. Moore","CAR","WR18","7","34","56","48.0","7.4","67.0","+23.0"
"45","undefined","","JuJu Smith-Schuster","PIT","WR19","7","33","77","49.6","17.0","17.0","-28.0"
"46","undefined","","Patrick Mahomes","KC","QB2","12","32","57","50.2","9.2","12.0","-34.0"
"47","undefined","","Devin Singletary","BUF","RB23","6","40","64","51.6","9.9","99.0","+52.0"
"48","undefined","","Courtland Sutton","DEN","WR20","10","44","66","51.8","7.5","115.0","+67.0"
"49","undefined","","Joe Mixon","CIN","RB24","9","45","62","51.8","5.9","19.0","-30.0"
"50","undefined","","John Brown","BUF","WR21","6","41","59","52.0","6.5","142.0","+92.0"
"51","undefined","","Austin Ekeler","LAC","RB25","12","40","67","54.2","10.1","58.0","+7.0"
"52","undefined","","Darren Waller","OAK","TE4","6","37","60","54.6","8.9","194.0","+142.0"
"53","undefined","","Zach Ertz","PHI","TE5","10","48","60","54.8","3.9","29.0","-24.0"
"54","undefined","","Ronald Jones II","TB","RB26","7","40","80","55.0","13.8","149.0","+95.0"
"55","undefined","","Damien Williams","KC","RB27","12","42","68","55.6","10.7","25.0","-30.0"
"56","undefined","","D.J. Chark","JAC","WR22","10","46","74","58.6","12.6","291.0","+235.0"
"57","undefined","","Robert Woods","LAR","WR23","9","44","86","59.8","15.5","42.0","-15.0"
"58","undefined","","Deshaun Watson","HOU","QB3","10","55","65","60.6","3.9","37.0","-21.0"
"59","undefined","","T.Y. Hilton","IND","WR24","6","42","73","61.0","12.1","45.0","-14.0"
"60","undefined","","Russell Wilson","SEA","QB4","11","58","65","61.2","3.1","82.0","+22.0"
"61","undefined","","Carlos Hyde","HOU","RB28","10","57","67","63.2","3.8","151.0","+90.0"
"62","undefined","","Devonta Freeman","ATL","RB29","9","44","84","63.4","13.6","33.0","-29.0"
"63","undefined","","Mark Andrews","BAL","TE6","8","48","85","65.2","16.7","140.0","+77.0"
"64","undefined","","Royce Freeman","DEN","RB30","10","57","72","66.2","5.8","112.0","+48.0"
"65","undefined","","Jordan Howard","PHI","RB31","10","55","79","66.6","7.8","87.0","+22.0"
"66","undefined","","Calvin Ridley","ATL","WR25","9","44","87","66.8","14.8","53.0","-13.0"
"67","undefined","","James White","NE","RB32","10","55","76","68.2","7.0","64.0","-3.0"
"68","undefined","","Matt Breida","SF","RB33","4","62","79","68.2","5.9","97.0","+29.0"
"69","undefined","","Emmanuel Sanders","SF","WR26","4","51","93","69.4","15.7","88.0","+19.0"
"70","undefined","","Kenyan Drake","ARI","RB34","12","57","78","70.4","7.6","74.0","+4.0"
"71","undefined","","Jamaal Williams","GB","RB35","11","55","79","70.6","8.8","193.0","+122.0"
"72","undefined","","Michael Gallup","DAL","WR27","8","51","93","71.2","15.0","132.0","+60.0"
"73","undefined","","Latavius Murray","NO","RB36","9","68","79","71.6","3.9","83.0","+10.0"
"74","undefined","","Curtis Samuel","CAR","WR28","7","52","95","72.0","14.7","98.0","+24.0"
"75","undefined","","Miles Sanders","PHI","RB37","10","62","101","77.2","12.8","68.0","-7.0"
"76","undefined","","Christian Kirk","ARI","WR29","12","73","89","80.4","6.1","90.0","+14.0"
"77","undefined","","Aaron Rodgers","GB","QB5","11","80","84","81.8","1.5","47.0","-30.0"
"78","undefined","","Alshon Jeffery","PHI","WR30","10","66","105","82.4","14.0","63.0","-15.0"
"79","undefined","","Mike Williams","LAC","WR31","12","72","95","82.6","7.3","59.0","-20.0"
"80","undefined","","Kareem Hunt","CLE","RB38","7","62","106","83.4","15.9","110.0","+30.0"
"81","undefined","","Terry McLaurin","WAS","WR32","10","65","102","83.6","12.1","374.0","+293.0"
"82","undefined","","Tyler Boyd","CIN","WR33","9","49","119","85.2","23.1","57.0","-25.0"
"83","undefined","","Marvin Jones","DET","WR34","5","73","111","85.4","14.5","93.0","+10.0"
"84","undefined","","Adrian Peterson","WAS","RB39","10","84","88","85.8","1.6","123.0","+39.0"
"85","undefined","","Kyler Murray","ARI","QB6","12","80","92","86.4","5.0","108.0","+23.0"
