"Rank","Player","Team","Positions","Best","Worst","Avg","Std Dev"
"1","David Pastrnak","BOS","RW,F","2","3","2.5","0.5"
"2","Brad Marchand","BOS","LW,F","1","5","3.0","2.0"
"3","Leon Draisaitl","EDM","C,LW","2","4","3.0","1.0"
"4","Connor McDavid","EDM","C,F","1","10","5.5","4.5"
"5","Alex Ovechkin","WSH","LW,F","3","9","6.0","3.0"
"6","John Carlson","WSH","D","4","10","7.0","3.0"
"7","Patrice Bergeron","BOS","C,F","5","11","8.0","3.0"
"8","Nathan MacKinnon","COL","C","6","11","8.5","2.5"
"9","Nikita Kucherov","TB","RW","8","13","10.5","2.5"
"10","Patrick Kane","CHI","RW,F","7","15","11.0","4.0"
"11","Auston Matthews","TOR","C,F","9","20","14.5","5.5"
"12","Brent Burns","SJ","D","6","31","18.5","12.5"
"13","Steven Stamkos","TB","C,F","19","19","19.0","0.0"
"14","Johnny Gaudreau","CGY","LW,F","16","23","19.5","3.5"
"15","Matthew Tkachuk","CGY","LW,F","7","34","20.5","13.5"
"16","Sidney Crosby","PIT","C,F","14","28","21.0","7.0"
"17","Artemi Panarin","NYR","LW,F","15","31","23.0","8.0"
"18","Morgan Rielly","TOR","D","12","36","24.0","12.0"
"19","Roman Josi","NSH","D","22","28","25.0","3.0"
"20","Taylor Hall","NJ","LW,F","21","33","27.0","6.0"
"21","Dougie Hamilton","CAR","D","27","29","28.0","1.0"
"22","Mark Stone","VGK","RW,F","22","35","28.5","6.5"
"23","Victor Hedman","TB","D","26","36","31.0","5.0"
"24","Jack Eichel","BUF","C,F","25","41","33.0","8.0"
"25","Jonathan Huberdeau","FLA","LW,F","33","34","33.5","0.5"
"26","Kristopher Letang","PIT","D","14","55","34.5","20.5"
"27","Evgeny Kuznetsov","WSH","C,F","37","38","37.5","0.5"
"28","Aleksander Barkov","FLA","C,F","13","63","38.0","25.0"
"29","Claude Giroux","PHI","LW,C,RW","35","43","39.0","4.0"
"30","Elias Pettersson","VAN","C","16","65","40.5","24.5"
"31","Evander Kane","SJ","LW,F","29","52","40.5","11.5"
"32","Mark Scheifele","WPG","C,F","37","45","41.0","4.0"
"33","Mark Giordano","CGY","D","8","75","41.5","33.5"
"34","John Tavares","TOR","C,F","24","59","41.5","17.5"
"35","Jake Guentzel","PIT","LW,RW","39","45","42.0","3.0"
"36","Brock Boeser","VAN","RW","40","44","42.0","2.0"
"37","Teuvo Teravainen","CAR","LW,RW,F","25","62","43.5","18.5"
"38","Elias Lindholm","CGY","C,RW,F","24","68","46.0","22.0"
"39","Sebastian Aho","CAR","C","41","51","46.0","5.0"
"40","Tyler Seguin","DAL","C,F","47","48","47.5","0.5"
"41","Alexander Radulov","DAL","RW,F","17","79","48.0","31.0"
"42","Blake Wheeler","WPG","RW,F","44","52","48.0","4.0"
"43","Filip Forsberg","NSH","LW,F","32","68","50.0","18.0"
"44","Erik Karlsson","SJ","D","23","78","50.5","27.5"
"45","Brayden Point","TB","C,F","43","61","52.0","9.0"
"46","Torey Krug","BOS","D","46","58","52.0","6.0"
"47","Sean Monahan","CGY","C,F","42","64","53.0","11.0"
"48","Nicklas Backstrom","WSH","C,F","51","57","54.0","3.0"
"49","Patrik Laine","WPG","LW,RW","39","74","56.5","17.5"
